QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 105.00 (QQQ1820G105-Y),0.0,0.0,71.50,76.50,0,5,2018 Jul 20 105.00 (QQQ1820S105-Y),0.0,0.0,0.0,0.01,0,678,
2018 Jul 20 110.00 (QQQ1820G110),69.47,+10.14,67.97,69.50,1,2,2018 Jul 20 110.00 (QQQ1820S110),0.01,0.0,0.0,0.01,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-3),0.0,0.0,67.97,69.50,0,2,2018 Jul 20 110.00 (QQQ1820S110-3),0.09,0.0,0.0,0.52,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-4),57.46,0.0,67.11,70.62,0,2,2018 Jul 20 110.00 (QQQ1820S110-4),0.03,0.0,0.0,0.52,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-8),69.47,+2.10,67.09,70.80,1,2,2018 Jul 20 110.00 (QQQ1820S110-8),0.01,0.0,0.0,1.88,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-A),52.50,0.0,67.09,70.84,0,2,2018 Jul 20 110.00 (QQQ1820S110-A),0.01,0.0,0.0,0.0,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-B),0.0,0.0,66.50,71.44,0,2,2018 Jul 20 110.00 (QQQ1820S110-B),0.04,0.0,0.0,2.13,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-E),64.69,0.0,67.97,69.50,0,2,2018 Jul 20 110.00 (QQQ1820S110-E),0.05,0.0,0.0,1.88,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-I),52.50,0.0,67.97,69.50,0,2,2018 Jul 20 110.00 (QQQ1820S110-I),0.23,0.0,0.0,0.75,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-J),0.0,0.0,66.50,71.43,0,2,2018 Jul 20 110.00 (QQQ1820S110-J),0.0,0.0,0.0,0.52,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-K),0.0,0.0,66.50,71.44,0,2,2018 Jul 20 110.00 (QQQ1820S110-K),0.0,0.0,0.0,5.00,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-O),0.0,0.0,66.50,71.43,0,2,2018 Jul 20 110.00 (QQQ1820S110-O),0.01,0.0,0.0,0.31,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-OG),0.0,0.0,66.84,71.09,0,2,2018 Jul 20 110.00 (QQQ1820S110-OG),0.01,0.0,0.0,2.13,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-P),59.33,0.0,67.09,70.84,0,2,2018 Jul 20 110.00 (QQQ1820S110-P),0.03,0.0,0.0,0.0,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-S),0.0,0.0,66.96,70.72,0,2,2018 Jul 20 110.00 (QQQ1820S110-S),0.01,0.0,0.0,1.88,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-X),52.28,0.0,66.50,71.43,0,2,2018 Jul 20 110.00 (QQQ1820S110-X),0.01,0.0,0.0,0.51,0,6082,
2018 Jul 20 110.00 (QQQ1820G110-Y),0.0,0.0,66.50,71.50,0,2,2018 Jul 20 110.00 (QQQ1820S110-Y),0.02,0.0,0.0,0.01,0,6082,
2018 Jul 20 115.00 (QQQ1820G115),64.80,0.0,62.97,64.50,0,22,2018 Jul 20 115.00 (QQQ1820S115),0.01,0.0,0.0,0.01,0,915,
2018 Jul 20 115.00 (QQQ1820G115-3),64.80,0.0,62.97,64.50,0,22,2018 Jul 20 115.00 (QQQ1820S115-3),0.11,0.0,0.0,0.52,0,915,
2018 Jul 20 115.00 (QQQ1820G115-4),0.0,0.0,62.11,65.62,0,22,2018 Jul 20 115.00 (QQQ1820S115-4),0.03,0.0,0.0,0.52,0,915,
2018 Jul 20 115.00 (QQQ1820G115-8),48.23,0.0,62.09,65.80,0,22,2018 Jul 20 115.00 (QQQ1820S115-8),0.01,0.0,0.0,1.88,0,915,
2018 Jul 20 115.00 (QQQ1820G115-A),48.27,0.0,62.09,65.84,0,22,2018 Jul 20 115.00 (QQQ1820S115-A),0.04,0.0,0.0,1.88,0,915,
2018 Jul 20 115.00 (QQQ1820G115-B),0.0,0.0,61.50,66.42,0,22,2018 Jul 20 115.00 (QQQ1820S115-B),0.05,0.0,0.0,2.13,0,915,
2018 Jul 20 115.00 (QQQ1820G115-E),44.22,0.0,62.09,65.84,0,22,2018 Jul 20 115.00 (QQQ1820S115-E),0.05,0.0,0.0,1.88,0,915,
2018 Jul 20 115.00 (QQQ1820G115-I),55.08,0.0,62.97,64.50,0,22,2018 Jul 20 115.00 (QQQ1820S115-I),0.20,0.0,0.0,0.75,0,915,
2018 Jul 20 115.00 (QQQ1820G115-J),0.0,0.0,61.50,66.42,0,22,2018 Jul 20 115.00 (QQQ1820S115-J),0.96,0.0,0.0,0.52,0,915,
2018 Jul 20 115.00 (QQQ1820G115-K),0.0,0.0,61.50,66.42,0,22,2018 Jul 20 115.00 (QQQ1820S115-K),0.0,0.0,0.0,5.00,0,915,
2018 Jul 20 115.00 (QQQ1820G115-O),0.0,0.0,61.50,66.42,0,22,2018 Jul 20 115.00 (QQQ1820S115-O),0.11,0.0,0.0,0.05,0,915,
