USO (UNITED STATES OIL FUND),14.15,+0.02,
Jul 22 2018 @ 03:03 ET,Bid,14.14,Ask,14.15,Size,0x0,Vol,22809485,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 7.00 (USO1820G7),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7),0.01,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-3),0.0,0.0,7.05,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-3),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-4),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-4),0.11,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-8),0.0,0.0,6.85,7.45,0,0,2018 Jul 20 7.00 (USO1820S7-8),0.04,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-A),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 7.00 (USO1820S7-A),0.04,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-B),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-B),0.0,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-E),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-E),0.01,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-I),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-I),0.13,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-J),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-J),0.08,0.0,0.0,0.01,0,1081,
2018 Jul 20 7.00 (USO1820G7-K),0.0,0.0,4.70,9.50,0,0,2018 Jul 20 7.00 (USO1820S7-K),0.0,0.0,0.0,5.00,0,1081,
2018 Jul 20 7.00 (USO1820G7-O),0.0,0.0,7.10,7.20,0,0,2018 Jul 20 7.00 (USO1820S7-O),0.05,0.0,0.0,0.01,0,1081,
