Date,Open,High,Low,Close,Volume
10-Jun-16,210.46,210.86,209.43,210.07,113829158
9-Jun-16,211.51,212.22,211.19,212.08,73786869
8-Jun-16,211.84,212.52,211.69,212.37,66170920
7-Jun-16,211.52,212.34,211.50,211.68,60974761
6-Jun-16,210.70,211.77,210.51,211.35,64887045
3-Jun-16,210.25,210.69,208.86,210.28,101757126
2-Jun-16,209.80,210.93,209.24,210.91,63044749
1-Jun-16,209.12,210.48,208.89,210.27,69936215
31-May-16,210.56,210.69,209.18,209.84,109879380
27-May-16,209.53,210.25,209.47,210.24,61633818
26-May-16,209.44,209.71,208.97,209.34,54330396
25-May-16,208.67,209.77,207.87,209.28,78059002
24-May-16,206.17,208.24,206.14,207.87,92183186
23-May-16,205.51,205.84,204.98,205.21,58382204
20-May-16,204.92,206.10,204.86,205.49,106391908
19-May-16,204.06,204.54,202.78,204.20,114213582
18-May-16,204.44,206.30,203.63,204.91,121676028
17-May-16,206.46,206.80,204.23,204.85,112758529
16-May-16,204.96,207.34,204.89,206.78,76651000
13-May-16,206.21,206.86,204.38,204.76,95946475
12-May-16,207.29,207.49,205.37,206.56,88843392
11-May-16,207.91,208.54,206.50,206.50,79920379
10-May-16,206.72,208.47,206.64,208.45,76445687
9-May-16,205.57,206.40,205.36,205.89,72649675
6-May-16,204.06,205.77,203.88,205.72,86900274
5-May-16,205.56,205.98,204.47,204.97,66549308
4-May-16,204.99,205.85,204.42,205.01,91312651
3-May-16,206.52,206.80,205.28,206.16,104707052
2-May-16,206.92,208.18,206.41,207.97,61624442
29-Apr-16,206.72,207.13,205.03,206.33,139941202
28-Apr-16,208.46,209.76,206.96,207.45,95931092
27-Apr-16,208.47,209.81,208.05,209.35,74785306
26-Apr-16,209.04,209.52,208.36,208.92,73631053
25-Apr-16,208.26,208.66,207.54,208.61,65772156
22-Apr-16,208.55,209.29,207.91,208.97,97485534
21-Apr-16,210.12,210.25,208.65,208.97,80790054
20-Apr-16,209.95,210.92,209.39,210.10,77333907
19-Apr-16,209.74,210.20,208.94,209.90,86869547
18-Apr-16,207.14,209.28,207.00,209.24,81477881
15-Apr-16,208.01,208.17,207.40,207.78,75123038
14-Apr-16,208.07,208.60,207.60,208.01,64763839
13-Apr-16,207.00,208.10,206.84,208.00,93840162
12-Apr-16,204.22,206.25,203.70,205.92,113056789
11-Apr-16,205.25,206.07,203.91,204.02,81496090
8-Apr-16,205.34,205.85,203.87,204.50,94553515
